,Subject,PC_17Network_ThaROI401,PC_17Network_ThaROI402,PC_17Network_ThaROI403,PC_17Network_ThaROI404,PC_17Network_ThaROI405,PC_17Network_ThaROI406,PC_17Network_ThaROI407,PC_7Network_ThaROI401,PC_7Network_ThaROI402,PC_7Network_ThaROI403,PC_7Network_ThaROI404,PC_7Network_ThaROI405,PC_7Network_ThaROI406,PC_7Network_ThaROI407
57,DODCON025,0.6998041664888459,0.5708012044751224,0.0,0.6066226543683988,0.7269929625579561,0.044398702225938204,0.025210246356938935,0.7704837978108425,0.6160700453089539,0.0,0.661644792189905,0.8078651826330385,0.044398702225938204,0.025210246356938935
58,DODCON026,0.7292304001235199,0.7316458371390038,0.6865183758382511,0.6892666135133585,0.7175434936775046,0.7325504764497033,0.6371099218341394,0.7895795776122134,0.786633514135513,0.7282661273793694,0.7711989952424296,0.7871926675306209,0.7820694531726186,0.7146603550363341
59,DODCON027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,DODCON028,0.7445590449015306,0.7463456027154938,0.7566263899679359,0.7471539959301509,0.7420074631338873,0.7536594861972747,0.7454602684677893,0.8083556698173158,0.8098564668582277,0.816158396991177,0.8052275750896333,0.8050910267424167,0.815268785726612,0.8092033240647395
61,DODCON029,0.7135307467634928,0.7168471093994228,0.7025563578505477,0.6787344934070366,0.7100621090770491,0.7113054409833438,0.48883117246770413,0.7576775328284214,0.7699317780800808,0.7904131795313365,0.715730577281828,0.7532169210928692,0.7901873114849924,0.5066237062480411
62,DODCON030,0.7640637580067108,0.7652214269803895,0.7598257829003244,0.7565015294289619,0.762877317129379,0.7620297915267649,0.7484731063093395,0.8258412432947597,0.8244680205644559,0.8204175428149258,0.8200424322291913,0.827685873521153,0.8228813028475407,0.7943118043520666
63,DODCON031,0.7404716890644223,0.7425130518087254,0.0,0.7313549608021831,0.7383294404847703,0.08701078819721737,0.4339770405826224,0.824102833861799,0.8170430878760716,0.0,0.7991571505763876,0.8261212433188363,0.08701078819721737,0.46374624942503967
64,DODCON032,0.7384975511327704,0.760518415379714,0.7513950569139175,0.7393041142097391,0.7299585882754652,0.7626291689239827,0.561506065399885,0.8051876009269949,0.8284263071789666,0.8186837622695452,0.7950234610106999,0.7946720714098329,0.8306955949134324,0.5841771721828979
65,DODCON033,0.7188671585433604,0.7140633457579326,0.08529548213459796,0.7196176438910132,0.7182506964217936,0.7023747001834605,0.5798792402638973,0.8072078472871184,0.805097616069061,0.08529548213459796,0.8045982755892657,0.8043606322834822,0.7794431173559109,0.632714692307927
66,DODCON034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,DODCON035,0.4114229046696908,0.23610951622115825,0.0,0.5412117264922333,0.634157539365897,0.0,0.0,0.40429642816859707,0.2265125990569758,0.0,0.5597141272101968,0.6496370694136986,0.0,0.0
68,DODCON036,0.0,0.0,0.0,0.38332432010986356,0.21074832122195078,0.0,0.0,0.0,0.0,0.0,0.4050969942075819,0.21074832122195078,0.0,0.0
